Economy,HazardValue
Afghanistan,477.96
Albania,154.72
Algeria,2340.12
American Samoa,0.0
Andorra,0.24
Angola,340.58
Antigua and Barbuda,538.56
Argentina,3977.6
Armenia,132.84
Aruba,111.02
Australia,11041.8
Austria,2547.46
Azerbaijan,652.08
"Bahamas, The",4380.02
Bahrain,51.32
Bangladesh,6168.66
Barbados,207.16
Belarus,899.2
Belgium,715.28
Belize,187.46
Benin,38.9
Bermuda,122.52
Bhutan,125.26
Bolivia,287.32
Bosnia and Herzegovina,139.24
Botswana,140.34
Brazil,9016.62
British Virgin Islands,173.34
Brunei Darussalam,74.62
Bulgaria,283.18
Burkina Faso,33.22
Burundi,13.84
Cabo Verde,0.38
Cambodia,502.4
Cameroon,169.48
Canada,6423.5
Cayman Islands,779.56
Central African Republic,10.7
Chad,77.84
Channel Islands,0.0
Chile,5676.48
China,63881.48
Colombia,7618.76
Comoros,1.62
"Congo, Dem. Rep.",136.6
"Congo, Rep.",254.94
Costa Rica,560.38
Ivory Coast,89.52
Croatia,601.14
Cuba,667.84
Curacao,0.0
Cyprus,59.12
Czech Republic,1139.44
Denmark,61.72
Djibouti,6.28
Dominica,137.04
Dominican Republic,2028.58
Ecuador,2927.92
"Egypt, Arab Rep.",693.38
El Salvador,526.14
Equatorial Guinea,44.64
Eritrea,26.42
Estonia,125.3
Ethiopia,276.92
Faroe Islands,2.26
Fiji,263.64
Finland,2.36
France,7187.14
French Polynesia,208.36
Gabon,406.1
"Gambia, The",2.58
Georgia,424.2
Germany,10095.38
Ghana,92.08
Gibraltar,5.06
Greece,10336.84
Greenland,0.0
Grenada,59.36
Guam,0.0
Guatemala,1542.44
Guinea,36.18
Guinea-Bissau,1.66
Guyana,66.04
Haiti,407.14
Honduras,1624.48
"Hong Kong SAR, China",2277.28
Hungary,3374.54
Iceland,63.0
India,19649.74
Indonesia,13079.26
"Iran, Islamic Rep.",9718.76
Iraq,1007.52
Ireland,429.68
Isle of Man,0.0
Israel,788.72
Italy,21103.4
Jamaica,924.22
Japan,134305.11
Jordan,98.52
Kazakhstan,1730.14
Kenya,205.8
Kiribati,0.02
"Korea, Dem. People's Rep.",340.3
"Korea, Rep.",19970.26
Kosovo,0.0
Kuwait,402.86
Kyrgyz Republic,196.8
Lao PDR,449.8
Latvia,346.5
Lebanon,260.92
Lesotho,90.56
Liberia,6.34
Libya,49.24
Liechtenstein,19.6
Lithuania,271.5
Luxembourg,49.76
"Macao SAR, China",23.5
"Macedonia, FYR",66.98
Madagascar,485.84
Malawi,64.64
Malaysia,2575.24
Maldives,0.12
Mali,89.82
Malta,26.92
Marshall Islands,0.5
Mauritania,38.2
Mauritius,187.04
Mexico,5884.58
"Micronesia, Fed. Sts.",12.92
Moldova,207.8
Monaco,23.4
Mongolia,86.46
Montenegro,18.18
Morocco,579.1
Mozambique,180.12
Myanmar,4155.72
Namibia,135.9
Nauru,17.9
Nepal,345.68
Netherlands,2443.7
New Caledonia,965.82
New Zealand,1601.3
Nicaragua,221.66
Niger,38.58
Nigeria,1128.12
Northern Mariana Islands,0.0
Norway,20.72
Oman,137.24
Pakistan,2655.24
Palau,26.0
Panama,322.32
Papua New Guinea,353.38
Paraguay,185.02
Peru,8076.68
Philippines,16342.9
Poland,1620.66
Portugal,298.24
Puerto Rico,9445.82
Qatar,305.8
Romania,1550.78
Russian Federation,10689.26
Rwanda,60.72
Samoa,29.4
San Marino,11.84
Sao Tome and Principe,0.12
Saudi Arabia,325.48
Senegal,24.36
Serbia,393.24
Seychelles,0.0
Sierra Leone,10.38
Singapore,4.04
Sint Maarten (Dutch part),0.0
Slovak Republic,1186.54
Slovenia,396.72
Solomon Islands,86.9
Somalia,57.06
South Africa,3023.36
South Sudan,42.64
Spain,2365.9
Sri Lanka,333.08
St. Kitts and Nevis,164.08
St. Lucia,93.48
St. Martin (French part),0.0
St. Vincent and the Grenadines,48.98
Sudan,147.12
Suriname,107.64
Swaziland,71.82
Sweden,231.72
Switzerland,3264.08
Syrian Arab Republic,527.78
"Taiwan, China",14410.78
Tajikistan,225.34
Tanzania,127.74
Thailand,5238.8
Timor-Leste,31.76
Togo,22.02
Tonga,65.34
Trinidad and Tobago,1242.02
Tunisia,276.04
Turkey,4998.02
Turkmenistan,192.72
Turks and Caicos Islands,41.44
Tuvalu,0.0
Uganda,85.48
Ukraine,2324.94
United Arab Emirates,1507.14
United Kingdom,3526.16
United States,105251.48
Uruguay,70.34
Uzbekistan,607.38
Vanuatu,136.36
"Venezuela, RB",4596.56
Vietnam,4752.14
Virgin Islands (U.S.),351.38
West Bank and Gaza,54.2
"Yemen, Rep.",91.74
Zambia,86.74
Zimbabwe,28.32
